"Column Name","Data Type","Nullable","Default","Primary Key"
"ORDERID","VARCHAR2(5)","Yes","",""
"ORDERUSERNAME","VARCHAR2(100)","Yes","",""
"ORDERAMOUNT","NUMBER(5,0)","Yes","",""
"ORDERSHIPADD","VARCHAR2(500)","Yes","",""
"ORDERCITY","VARCHAR2(100)","Yes","",""
"ORDEREMAIL","VARCHAR2(100)","Yes","",""
"ORDERPLACEDATE","VARCHAR2(100)","Yes","",""
"ORDERDELIVERYDATE","VARCHAR2(100)","Yes","",""
"MODEOFPAYMENT","VARCHAR2(100)","Yes","",""
"PRODUCTID","VARCHAR2(5)","Yes","",""
"PRODUCTNAME","VARCHAR2(100)","Yes","",""
"QTY","NUMBER(3,0)","Yes","",""
"STATUS","VARCHAR2(50)","Yes","",""
